SUBURB_NAME,LOCAL_GOVERNMENT_AREA,AVG_HEAT_CELSIUS,MIN_HEAT_CELSIUS,MAX_HEAT_CELSIUS,HEAT_STD_DEV,MESH_BLOCK_COUNT,AVG_VEGETATION_PCT,AVG_TREE_PCT,AVG_SHRUB_PCT,AVG_GRASS_PCT,AVG_SMALL_TREES_PCT,AVG_MEDIUM_TREES_PCT,AVG_LARGE_TREES_PCT,TOTAL_AREA_HECTARES,CENTROID_LONGITUDE,CENTROID_LATITUDE,SUBURB_HEAT_CATEGORY,HEAT_RANK,VEGETATION_RANK
Emerald - Cockatoo,Yarra Ranges (S),2.28,0.63,3.35,1.3,5,80.74,59.02,5.82,15.9,9.78,6.52,42.7,298.75,145.45,-37.9,Low Heat,252,2
Endeavour Hills - North,Casey (C),7.85,3.51,9.53,1.44,129,45.75,13.05,8.32,24.37,9.52,2.4,1.12,1447.45,145.26,-37.97,Moderate Heat,165,34
Endeavour Hills - South,Casey (C),8.69,3.72,10.19,0.86,151,36.67,11.25,7.47,17.94,9.07,1.59,0.6,558.73,145.26,-37.98,High Heat,118,85
Epping - East,Whittlesea (C),9.0,6.98,10.37,0.68,128,30.79,7.86,6.33,16.59,6.33,1.2,0.33,776.73,145.04,-37.64,High Heat,100,163
Epping - South,Whittlesea (C),9.23,6.36,10.8,0.78,133,32.97,7.32,5.89,19.75,5.78,1.18,0.36,1586.86,145.03,-37.65,High Heat,86,126
Epping - West,Whittlesea (C),9.53,7.23,10.44,0.72,121,27.8,5.37,5.14,17.29,4.46,0.72,0.17,735.59,145.01,-37.63,High Heat,69,211
Essendon - Aberfeldie,Moonee Valley (C),9.51,6.0,11.18,0.68,363,27.71,10.84,6.59,10.28,9.06,1.26,0.52,844.2,144.91,-37.75,High Heat,70,213
Essendon Airport,Moonee Valley (C),11.22,11.22,11.22,,1,37.1,1.4,2.0,33.7,1.2,0.1,0.0,335.44,144.9,-37.73,High Heat,16,76
Fawkner,Moreland (C),9.37,7.29,11.32,0.54,150,33.8,7.37,8.7,17.73,6.22,0.95,0.19,508.41,144.97,-37.71,High Heat,79,116
Ferntree Gully (North),Knox (C),6.74,1.76,9.07,1.39,171,35.59,18.53,6.07,10.99,11.2,4.59,2.75,698.44,145.28,-37.88,Moderate Heat,215,93
Ferntree Gully (South) - Upper Ferntree Gully,Knox (C),7.0,1.41,9.94,1.44,186,38.22,16.51,6.33,15.37,10.25,3.87,2.4,914.97,145.28,-37.89,Moderate Heat,206,63
Fitzroy,Yarra (C),8.23,5.93,9.85,0.71,176,15.02,10.77,2.78,1.47,7.37,2.54,0.85,137.77,144.98,-37.8,High Heat,144,298
Fitzroy North,Moreland (C),7.75,5.66,9.26,1.12,12,37.04,15.6,9.27,12.15,12.58,1.86,1.15,16.07,144.98,-37.77,Moderate Heat,173,77
Fitzroy North,Yarra (C),8.33,6.03,10.28,0.65,167,24.87,13.9,5.47,5.49,10.61,2.6,0.69,234.41,144.98,-37.78,High Heat,138,255
Flemington,Moonee Valley (C),8.74,6.08,10.74,0.87,123,28.98,17.51,5.67,5.79,11.27,4.3,1.93,158.06,144.93,-37.78,High Heat,115,196
Flemington Racecourse,Melbourne (C),8.99,8.99,8.99,,1,44.1,7.3,4.4,32.3,4.4,1.9,1.0,170.91,144.91,-37.79,High Heat,101,39
Flinders,Mornington Peninsula (S),0.74,-8.92,6.83,2.69,215,65.15,27.63,9.28,28.23,14.39,5.96,7.29,28746.17,144.99,-38.43,Low Heat,254,9
Footscray,Maribyrnong (C),9.54,6.34,12.2,0.92,258,20.93,8.23,5.17,7.53,7.05,0.91,0.27,496.65,144.9,-37.8,High Heat,68,283
Forest Hill,Whitehorse (C),8.03,6.23,9.87,0.62,118,32.13,16.74,6.75,8.65,11.36,3.67,1.71,407.02,145.17,-37.84,High Heat,156,144
Frankston,Frankston (C),8.02,1.95,12.09,1.36,394,29.95,14.86,7.15,7.93,11.58,2.38,0.89,1162.61,145.14,-38.15,High Heat,157,182
Frankston North,Frankston (C),8.73,5.33,10.88,0.61,263,34.05,15.14,7.32,11.58,11.69,2.6,0.85,1323.93,145.15,-38.14,High Heat,116,113
Frankston South,Frankston (C),6.46,-0.84,9.12,1.69,222,44.59,22.63,9.6,12.35,17.16,3.9,1.57,1456.21,145.13,-38.17,Moderate Heat,221,36
Gisborne,Macedon Ranges (S),6.41,2.93,9.44,1.62,38,32.12,12.63,4.83,14.65,7.33,3.43,1.86,8076.87,144.6,-37.52,Moderate Heat,223,145
Gladstone Park - Westmeadows,Hume (C),10.0,7.21,12.04,0.68,205,38.71,9.19,7.98,21.54,7.49,1.36,0.33,1393.4,144.89,-37.68,High Heat,47,59
Glen Iris - East,Boroondara (C),7.33,4.88,10.78,0.7,207,34.39,20.6,6.61,7.17,14.7,4.24,1.67,570.45,145.07,-37.85,Moderate Heat,192,108
Glen Waverley - East,Monash (C),8.27,3.04,9.52,0.72,213,35.56,15.56,8.43,11.55,11.59,2.7,1.28,916.38,145.18,-37.88,High Heat,141,94
Glen Waverley - West,Monash (C),8.22,5.93,10.79,0.68,240,29.89,14.85,6.45,8.6,10.68,2.76,1.4,767.55,145.16,-37.88,High Heat,145,183
Glenroy,Moreland (C),9.64,6.99,11.58,0.55,253,33.1,8.42,8.06,16.62,6.98,1.15,0.29,885.69,144.92,-37.7,High Heat,64,123
Gowanbrae,Moreland (C),10.91,9.7,11.51,0.43,26,30.65,5.53,8.14,16.95,5.03,0.45,0.05,152.25,144.9,-37.7,High Heat,24,167
Greensborough,Banyule (C),8.33,5.19,11.52,1.07,246,33.25,20.52,6.01,6.71,11.84,5.61,3.08,1009.59,145.11,-37.7,High Heat,138,121
Greenvale - Bulla,Hume (C),9.33,-3.8,11.65,1.24,169,37.0,7.96,6.59,22.44,6.48,1.08,0.4,9588.81,144.89,-37.64,High Heat,81,78
Hadfield,Moreland (C),9.53,7.68,10.81,0.46,69,31.24,6.78,7.78,16.67,5.77,0.84,0.17,304.98,144.95,-37.71,High Heat,69,155
Hallam,Casey (C),9.12,5.2,12.06,1.05,127,33.21,8.46,6.51,18.24,6.83,1.25,0.38,805.66,145.27,-38.01,High Heat,92,122
Hampton,Bayside (C),7.79,-3.34,10.0,1.35,213,29.72,14.34,7.19,8.19,11.55,2.18,0.61,568.45,145.01,-37.94,Moderate Heat,169,185
Hampton Park - Lynbrook,Casey (C),9.46,5.33,11.2,1.01,243,39.32,8.74,7.23,23.34,6.95,1.36,0.44,1334.27,145.27,-38.04,High Heat,74,55
Hastings - Somers,Mornington Peninsula (S),4.78,-1.04,9.28,2.17,381,57.26,23.38,10.85,23.03,15.66,5.14,2.58,10873.55,145.17,-38.34,Moderate Heat,239,18
Hawthorn,Boroondara (C),7.42,4.28,9.76,0.74,331,28.19,17.78,5.5,4.91,13.25,3.15,1.38,567.14,145.03,-37.82,Moderate Heat,189,207
Hawthorn East,Boroondara (C),7.52,3.01,9.29,0.68,206,26.19,16.15,5.51,4.53,12.52,2.75,0.88,382.36,145.05,-37.83,Moderate Heat,184,235
Healesville - Yarra Glen,Yarra Ranges (S),4.6,-1.54,8.09,1.72,163,62.85,28.83,8.46,25.57,13.72,6.58,8.53,12951.6,145.49,-37.66,Moderate Heat,242,11
Heidelberg - Rosanna,Banyule (C),8.31,2.52,11.59,1.03,204,32.54,17.57,7.01,7.95,11.95,3.51,2.11,637.12,145.07,-37.75,High Heat,140,136
Heidelberg West,Banyule (C),8.19,5.75,10.88,0.62,203,32.44,13.63,6.81,12.0,10.1,2.6,0.93,669.07,145.05,-37.74,High Heat,147,138
Hillside,Melton (C),10.31,8.31,12.76,0.74,205,20.28,4.71,4.56,11.01,4.31,0.32,0.07,6653.76,144.74,-37.7,High Heat,37,286
Hoppers Crossing - North,Wyndham (C),9.55,6.27,12.1,1.67,221,27.8,6.48,6.42,14.9,5.81,0.58,0.08,1091.28,144.7,-37.86,High Heat,67,211
Hoppers Crossing - South,Wyndham (C),8.39,5.83,12.05,1.35,212,26.93,7.67,6.74,12.51,6.59,0.91,0.17,701.07,144.69,-37.87,High Heat,133,226
Hughesdale,Monash (C),8.55,7.34,10.02,0.56,91,25.37,11.69,6.07,7.61,9.85,1.49,0.35,200.94,145.08,-37.9,High Heat,123,247
Hurstbridge,Nillumbik (S),5.76,3.52,7.76,0.95,42,56.5,34.72,7.93,13.87,14.76,11.07,8.88,1483.94,145.19,-37.64,Moderate Heat,232,19
Ivanhoe,Banyule (C),7.75,3.85,10.27,1.03,171,35.78,19.07,7.54,9.18,13.7,3.57,1.8,504.96,145.04,-37.77,Moderate Heat,173,90
Ivanhoe East - Eaglemont,Banyule (C),7.06,2.61,9.08,1.01,99,41.91,25.53,7.91,8.47,16.24,5.46,3.82,427.68,145.06,-37.77,Moderate Heat,202,45
Keilor,Brimbank (C),9.8,5.65,11.72,0.99,144,34.04,10.9,7.02,16.13,7.96,2.0,0.94,1654.75,144.84,-37.72,High Heat,57,114
Keilor,Hume (C),8.2,5.2,11.39,2.08,9,10.91,2.57,2.07,6.31,2.33,0.17,0.03,96.25,144.85,-37.71,High Heat,146,303
