suburb_id,suburb_name,council,latitude,longitude,heat_intensity,heat_category,heat_rank,vegetation_total,vegetation_rank,tree_coverage,area_hectares
glen_waverley___west,Glen Waverley - West,Monash (C),-37.88,145.16,8.22,High Heat,145,29.9,183,14.8,767.55
glenroy,Glenroy,Moreland (C),-37.7,144.92,9.64,High Heat,64,33.1,123,8.4,885.69
gowanbrae,Gowanbrae,Moreland (C),-37.7,144.9,10.91,High Heat,24,30.6,167,5.5,152.25
greensborough,Greensborough,Banyule (C),-37.7,145.11,8.33,High Heat,138,33.2,121,20.5,1009.59
greenvale___bulla,Greenvale - Bulla,Hume (C),-37.64,144.89,9.33,High Heat,81,37.0,78,8.0,9588.81
hadfield,Hadfield,Moreland (C),-37.71,144.95,9.53,High Heat,69,31.2,155,6.8,304.98
hallam,Hallam,Casey (C),-38.01,145.27,9.12,High Heat,92,33.2,122,8.5,805.66
hampton,Hampton,Bayside (C),-37.94,145.01,7.79,Moderate Heat,169,29.7,185,14.3,568.45
hampton_park___lynbrook,Hampton Park - Lynbrook,Casey (C),-38.04,145.27,9.46,High Heat,74,39.3,55,8.7,1334.27
hastings___somers,Hastings - Somers,Mornington Peninsula (S),-38.34,145.17,4.78,Moderate Heat,239,57.3,18,23.4,10873.55
hawthorn,Hawthorn,Boroondara (C),-37.82,145.03,7.42,Moderate Heat,189,28.2,207,17.8,567.14
hawthorn_east,Hawthorn East,Boroondara (C),-37.83,145.05,7.52,Moderate Heat,184,26.2,235,16.2,382.36
healesville___yarra_glen,Healesville - Yarra Glen,Yarra Ranges (S),-37.66,145.49,4.6,Moderate Heat,242,62.8,11,28.8,12951.6
heidelberg___rosanna,Heidelberg - Rosanna,Banyule (C),-37.75,145.07,8.31,High Heat,140,32.5,136,17.6,637.12
heidelberg_west,Heidelberg West,Banyule (C),-37.74,145.05,8.19,High Heat,147,32.4,138,13.6,669.07
hillside,Hillside,Melton (C),-37.7,144.74,10.31,High Heat,37,20.3,286,4.7,6653.76
hoppers_crossing___north,Hoppers Crossing - North,Wyndham (C),-37.86,144.7,9.55,High Heat,67,27.8,211,6.5,1091.28
hoppers_crossing___south,Hoppers Crossing - South,Wyndham (C),-37.87,144.69,8.39,High Heat,133,26.9,226,7.7,701.07
hughesdale,Hughesdale,Monash (C),-37.9,145.08,8.55,High Heat,123,25.4,247,11.7,200.94
hurstbridge,Hurstbridge,Nillumbik (S),-37.64,145.19,5.76,Moderate Heat,232,56.5,19,34.7,1483.94
ivanhoe,Ivanhoe,Banyule (C),-37.77,145.04,7.75,Moderate Heat,173,35.8,90,19.1,504.96
ivanhoe_east___eaglemont,Ivanhoe East - Eaglemont,Banyule (C),-37.77,145.06,7.06,Moderate Heat,202,41.9,45,25.5,427.68
keilor,Keilor,Brimbank (C),-37.72,144.84,9.8,High Heat,57,34.0,114,10.9,1654.75
keilor,Keilor,Hume (C),-37.71,144.85,8.2,High Heat,146,10.9,303,2.6,96.25
keilor_downs,Keilor Downs,Brimbank (C),-37.72,144.81,10.81,High Heat,27,31.0,158,7.5,765.9
keilor_east,Keilor East,Moonee Valley (C),-37.75,144.86,10.1,High Heat,42,32.6,134,8.1,1089.02
kensington_(vic.),Kensington (Vic.),Melbourne (C),-37.79,144.93,9.1,High Heat,94,25.0,254,14.8,213.61
kensington_(vic.),Kensington (Vic.),Moonee Valley (C),-37.79,144.93,9.04,High Heat,97,9.3,305,7.8,1.06
kew,Kew,Boroondara (C),-37.8,145.04,7.54,Moderate Heat,183,33.3,120,19.4,1053.26
kew_east,Kew East,Boroondara (C),-37.79,145.05,7.64,Moderate Heat,178,36.9,80,20.3,401.5
keysborough,Keysborough,Greater Dandenong (C),-38.0,145.17,9.97,High Heat,48,35.6,92,6.8,3027.96
kilsyth,Kilsyth,Yarra Ranges (S),-37.81,145.32,6.67,Moderate Heat,216,40.3,51,19.4,824.15
kinglake,Kinglake,Murrindindi (S),-37.53,145.33,0.03,Low Heat,255,66.7,6,27.9,935.27
kings_park_(vic.),Kings Park (Vic.),Brimbank (C),-37.74,144.77,10.97,High Heat,20,27.5,215,5.5,443.21
kingsbury,Kingsbury,Darebin (C),-37.71,145.05,8.75,High Heat,114,35.2,96,14.2,900.8
knoxfield___scoresby,Knoxfield - Scoresby,Knox (C),-37.89,145.24,7.88,Moderate Heat,163,28.9,198,12.3,1526.42
koo_wee_rup,Koo Wee Rup,Cardinia (S),-38.19,145.48,10.27,High Heat,38,30.3,175,6.5,11189.97
lalor,Lalor,Whittlesea (C),-37.67,145.01,9.38,High Heat,78,30.6,168,5.3,1205.76
langwarrin,Langwarrin,Frankston (C),-38.15,145.19,8.02,High Heat,157,41.7,46,18.1,3762.35
laverton,Laverton,Hobsons Bay (C),-37.86,144.77,9.66,High Heat,63,34.5,104,8.7,202.44
laverton,Laverton,Wyndham (C),-37.85,144.77,10.86,High Heat,26,21.7,279,2.7,2021.83
lilydale___coldstream,Lilydale - Coldstream,Yarra Ranges (S),-37.75,145.36,6.96,Moderate Heat,207,45.0,35,18.5,10936.51
lynbrook___lyndhurst,Lynbrook - Lyndhurst,Casey (C),-38.06,145.25,10.22,High Heat,41,32.8,130,6.3,735.85
lysterfield,Lysterfield,Knox (C),-37.92,145.28,7.28,Moderate Heat,194,47.5,32,16.5,1410.32
lysterfield,Lysterfield,Yarra Ranges (S),-37.92,145.31,3.64,Low Heat,248,94.1,1,5.5,439.02
malvern___glen_iris,Malvern - Glen Iris,Stonnington (C),-37.86,145.04,7.83,Moderate Heat,166,28.0,210,17.4,615.48
malvern_east,Malvern East,Stonnington (C),-37.88,145.06,7.88,Moderate Heat,163,30.9,161,17.5,756.68
maribyrnong,Maribyrnong,Maribyrnong (C),-37.78,144.89,10.07,High Heat,44,30.4,173,9.4,549.27
meadow_heights,Meadow Heights,Hume (C),-37.65,144.92,9.6,High Heat,66,39.9,53,6.8,462.41
melbourne,Melbourne,Melbourne (C),-37.81,144.96,7.26,Moderate Heat,195,6.9,306,5.9,236.89
melbourne_airport,Melbourne Airport,Hume (C),-37.68,144.84,10.78,High Heat,29,37.2,74,4.0,3037.98
melton,Melton,Melton (C),-37.67,144.59,10.9,High Heat,25,27.2,224,7.9,13068.12
melton_south,Melton South,Melton (C),-37.71,144.56,10.96,High Heat,21,23.6,270,5.4,8398.99
melton_west,Melton West,Melton (C),-37.67,144.56,11.45,High Heat,11,24.4,262,4.9,2419.73
mentone,Mentone,Kingston (C) (Vic.),-37.98,145.07,8.77,High Heat,112,24.1,264,10.4,445.0
mernda,Mernda,Whittlesea (C),-37.6,145.09,10.32,High Heat,36,27.8,212,6.3,2381.87
mickleham___yuroke,Mickleham - Yuroke,Hume (C),-37.56,144.9,8.51,High Heat,126,26.7,229,6.1,7061.78
mill_park___north,Mill Park - North,Whittlesea (C),-37.66,145.06,9.01,High Heat,99,28.1,209,9.4,813.44
mill_park___south,Mill Park - South,Whittlesea (C),-37.67,145.06,9.25,High Heat,85,32.5,137,9.9,492.91
mitcham_(vic.),Mitcham (Vic.),Whitehorse (C),-37.82,145.2,7.72,Moderate Heat,174,32.8,129,20.2,662.62
monbulk___silvan,Monbulk - Silvan,Yarra Ranges (S),-37.87,145.43,5.16,Moderate Heat,235,56.5,20,31.7,6855.02
montmorency___briar_hill,Montmorency - Briar Hill,Banyule (C),-37.72,145.12,7.86,Moderate Heat,164,37.6,69,25.2,1202.65
montrose,Montrose,Yarra Ranges (S),-37.81,145.35,4.42,Moderate Heat,245,58.4,16,38.2,1054.24
moonee_ponds,Moonee Ponds,Moonee Valley (C),-37.77,144.92,9.5,High Heat,71,23.4,272,9.8,435.46
moorabbin___heatherton,Moorabbin - Heatherton,Kingston (C) (Vic.),-37.94,145.06,9.47,High Heat,73,26.0,236,9.0,1169.95
moorabbin_airport,Moorabbin Airport,Kingston (C) (Vic.),-37.98,145.09,11.3,High Heat,15,31.1,156,2.6,307.55
mooroolbark,Mooroolbark,Yarra Ranges (S),-37.78,145.32,7.0,Moderate Heat,206,40.4,50,18.6,1254.22
mordialloc___parkdale,Mordialloc - Parkdale,Kingston (C) (Vic.),-38.0,145.09,8.72,High Heat,117,26.6,231,10.0,796.81
mornington,Mornington,Mornington Peninsula (S),-38.23,145.05,7.24,Moderate Heat,196,28.2,208,12.6,2109.66
mount_dandenong___olinda,Mount Dandenong - Olinda,Yarra Ranges (S),-37.86,145.37,1.02,Low Heat,253,68.1,5,51.4,8189.34
mount_eliza,Mount Eliza,Mornington Peninsula (S),-38.19,145.09,5.82,Moderate Heat,231,48.1,31,22.7,2321.05
mount_evelyn,Mount Evelyn,Yarra Ranges (S),-37.79,145.38,5.11,Moderate Heat,237,54.0,25,37.4,1698.74
mount_martha,Mount Martha,Mornington Peninsula (S),-38.27,145.02,5.13,Moderate Heat,236,50.1,29,20.0,3021.59
mount_waverley___north,Mount Waverley - North,Monash (C),-37.87,145.13,8.04,High Heat,155,30.7,165,16.9,648.37
mount_waverley___south,Mount Waverley - South,Monash (C),-37.89,145.13,8.12,High Heat,151,29.4,189,14.7,870.0
mulgrave,Mulgrave,Monash (C),-37.93,145.18,8.69,High Heat,118,34.1,112,11.0,1071.83
murrumbeena,Murrumbeena,Glen Eira (C),-37.9,145.07,8.43,High Heat,130,27.4,218,13.9,251.45
narre_warren___north_east,Narre Warren - North East,Casey (C),-38.01,145.31,11.47,High Heat,10,36.7,84,9.8,487.4
narre_warren___south_west,Narre Warren - South West,Casey (C),-38.02,145.31,11.04,High Heat,18,36.8,81,10.9,930.54
narre_warren_north,Narre Warren North,Casey (C),-37.99,145.31,7.96,Moderate Heat,159,60.7,14,16.3,3440.85
narre_warren_south_(east),Narre Warren South (East),Casey (C),-38.06,145.31,12.89,Extreme Heat,2,37.3,72,10.1,622.06
narre_warren_south_(west),Narre Warren South (West),Casey (C),-38.05,145.29,12.48,Extreme Heat,4,38.2,64,8.6,677.72
newport,Newport,Hobsons Bay (C),-37.84,144.88,7.47,Moderate Heat,187,32.9,127,10.3,884.0
niddrie___essendon_west,Niddrie - Essendon West,Moonee Valley (C),-37.74,144.89,9.74,High Heat,60,30.7,166,9.3,280.27
noble_park___east,Noble Park - East,Greater Dandenong (C),-37.96,145.18,8.87,High Heat,108,31.8,153,10.8,376.69
noble_park___west,Noble Park - West,Greater Dandenong (C),-37.97,145.17,9.47,High Heat,73,30.3,174,8.1,479.45
noble_park_north,Noble Park North,Greater Dandenong (C),-37.95,145.19,8.55,High Heat,123,34.8,102,9.0,375.74
north_melbourne,North Melbourne,Melbourne (C),-37.8,144.95,8.74,High Heat,115,19.0,290,13.7,324.91
northcote,Northcote,Darebin (C),-37.77,145.0,7.9,Moderate Heat,162,30.5,171,13.6,614.45
nunawading,Nunawading,Manningham (C),-37.8,145.18,8.03,High Heat,156,38.1,65,22.4,12.66
nunawading,Nunawading,Whitehorse (C),-37.82,145.18,7.92,Moderate Heat,161,28.3,205,16.3,495.12
oakleigh___huntingdale,Oakleigh - Huntingdale,Monash (C),-37.91,145.1,8.69,High Heat,118,24.6,258,10.5,1016.95
ormond___glen_huntly,Ormond - Glen Huntly,Glen Eira (C),-37.9,145.04,8.98,High Heat,102,24.5,259,12.7,293.7
pakenham___north,Pakenham - North,Cardinia (S),-38.06,145.49,11.67,High Heat,8,30.3,176,7.9,3722.23
pakenham___south,Pakenham - South,Cardinia (S),-38.08,145.47,11.7,High Heat,7,30.8,162,6.3,4976.05
panton_hill___st_andrews,Panton Hill - St Andrews,Nillumbik (S),-37.61,145.26,4.55,Moderate Heat,244,63.7,10,32.1,29214.15
parkville,Parkville,Melbourne (C),-37.79,144.95,8.65,High Heat,119,32.2,142,16.8,404.86
pascoe_vale,Pascoe Vale,Moreland (C),-37.72,144.93,9.37,High Heat,79,32.9,128,10.6,698.32
pascoe_vale_south,Pascoe Vale South,Moreland (C),-37.74,144.94,9.06,High Heat,96,31.0,159,10.6,298.86
pearcedale___tooradin,Pearcedale - Tooradin,Casey (C),-38.21,145.3,7.71,Moderate Heat,175,51.3,27,17.0,9852.49
plenty___yarrambat,Plenty - Yarrambat,Nillumbik (S),-37.67,145.11,7.77,Moderate Heat,171,36.9,79,20.5,2911.19
point_cook___east,Point Cook - East,Wyndham (C),-37.9,144.77,8.61,High Heat,121,25.7,240,3.1,1903.48
point_cook___north,Point Cook - North,Wyndham (C),-37.89,144.74,11.03,High Heat,19,23.9,265,5.3,849.0
point_cook___south,Point Cook - South,Wyndham (C),-37.9,144.73,11.1,High Heat,17,19.7,289,2.8,942.18
point_nepean,Point Nepean,Mornington Peninsula (S),-38.37,144.79,3.07,Low Heat,250,40.0,52,22.2,6720.54
port_melbourne,Port Melbourne,Port Phillip (C),-37.84,144.94,6.8,Moderate Heat,211,23.2,273,11.9,278.91
port_melbourne_industrial,Port Melbourne Industrial,Melbourne (C),-37.83,144.92,6.78,Moderate Heat,213,10.3,304,3.6,498.61
port_melbourne_industrial,Port Melbourne Industrial,Port Phillip (C),-37.83,144.93,7.76,Moderate Heat,172,21.9,278,7.2,188.28
