suburb_id,suburb_name,council,latitude,longitude,heat_intensity,heat_category,heat_rank,vegetation_total,vegetation_rank,tree_coverage,area_hectares
truganina,Truganina,Wyndham (C),-37.85,144.73,11.44,High Heat,12,23.0,274,2.4,2716.23
tullamarine,Tullamarine,Hume (C),-37.7,144.88,9.89,High Heat,52,27.3,220,7.0,385.91
upwey___tecoma,Upwey - Tecoma,Yarra Ranges (S),-37.91,145.33,4.56,Moderate Heat,243,60.4,15,44.2,889.03
vermont,Vermont,Maroondah (C),-37.84,145.21,7.39,Moderate Heat,191,42.8,44,19.5,22.25
vermont,Vermont,Whitehorse (C),-37.84,145.2,7.63,Moderate Heat,179,36.2,87,19.6,438.68
vermont_south,Vermont South,Whitehorse (C),-37.85,145.19,8.2,High Heat,146,36.8,83,17.0,618.37
viewbank___yallambie,Viewbank - Yallambie,Banyule (C),-37.73,145.09,8.61,High Heat,121,33.9,115,17.5,1023.67
wallan,Wallan,Mitchell (S),-37.41,144.98,6.13,Moderate Heat,228,34.9,100,9.6,17558.64
wandin___seville,Wandin - Seville,Yarra Ranges (S),-37.78,145.45,6.28,Moderate Heat,225,54.7,22,24.3,11174.13
wantirna,Wantirna,Knox (C),-37.85,145.23,8.03,High Heat,156,31.6,154,15.2,830.57
wantirna_south,Wantirna South,Knox (C),-37.87,145.23,8.25,High Heat,142,30.2,178,13.0,1335.47
warrandyte___wonga_park,Warrandyte - Wonga Park,Manningham (C),-37.75,145.23,5.13,Moderate Heat,236,57.4,17,34.3,4390.62
warrandyte___wonga_park,Warrandyte - Wonga Park,Yarra Ranges (S),-37.76,145.29,5.55,Moderate Heat,233,66.6,7,21.8,184.66
watsonia,Watsonia,Banyule (C),-37.71,145.08,9.02,High Heat,98,29.0,195,14.2,378.49
wattle_glen___diamond_creek,Wattle Glen - Diamond Creek,Nillumbik (S),-37.67,145.16,7.45,Moderate Heat,188,41.2,48,23.3,2681.98
werribee___east,Werribee - East,Wyndham (C),-37.89,144.66,7.63,Moderate Heat,179,30.0,180,8.3,775.65
werribee___south,Werribee - South,Wyndham (C),-37.92,144.67,6.9,Moderate Heat,209,35.1,97,9.4,11402.98
werribee___west,Werribee - West,Wyndham (C),-37.9,144.64,8.07,High Heat,154,34.6,103,9.4,5989.36
